01182015,10,39.74,29.06,808.17
01182015,10,39.74,29.06,806.77
01182015,11,39.92,29.06,812.37
01182015,12,39.92,29.06,808.17
01182015,13,40.46,29.07,792.23
01182015,14,41.18,29.09,778.54
01182015,15,40.46,29.12,753.40
01182015,16,39.02,29.15,722.41
01182015,17,36.68,29.18,698.43
01182015,18,35.78,29.19,677.80
01182015,19,34.16,29.21,666.66
01182015,20,33.98,29.22,656.91
01182015,21,34.34,29.22,651.62
01182015,22,35.96,29.24,637.43
01182015,23,37.58,29.25,631.58
01192015,00,37.94,29.24,635.76
01192015,01,37.76,29.25,627.13
01192015,02,37.40,29.25,623.24
01192015,03,36.68,29.24,634.09
01192015,04,33.08,29.25,626.30
01192015,05,30.74,29.27,614.06
01192015,06,28.22,29.28,594.32
01192015,07,26.78,29.30,579.03
01192015,08,28.04,29.30,580.42
01192015,09,31.64,29.30,582.09
01192015,10,35.78,29.31,573.20
01192015,11,40.64,29.29,585.42
01192015,12,42.26,29.26,616.00
01192015,13,42.44,29.26,623.79
01192015,14,41.90,29.24,637.98
01192015,15,41.36,29.23,642.99
01192015,16,38.48,29.25,626.85
01192015,17,35.96,29.25,630.47
01192015,18,35.42,29.26,614.06
01192015,19,34.70,29.24,629.08
01192015,20,34.34,29.23,644.11
01192015,21,33.98,29.24,639.10
01192015,22,33.80,29.23,649.12
01192015,23,33.62,29.23,646.61
01202015,00,33.44,29.20,673.62
01202015,01,33.44,29.18,687.56
01202015,02,33.26,29.18,692.02
01202015,03,33.26,29.17,705.96
01202015,04,33.26,29.16,707.91
01202015,05,33.08,29.15,720.18
01202015,06,33.26,29.16,715.72
01202015,07,33.08,29.18,691.74
01202015,08,32.72,29.19,682.54
01202015,09,33.26,29.20,676.13
01202015,10,33.44,29.22,649.95
01202015,11,33.44,29.22,650.23
01202015,12,33.62,29.22,650.79
01202015,13,35.24,29.20,677.53
01202015,14,35.42,29.21,665.83
01202015,15,35.24,29.23,649.95
01202015,16,34.88,29.25,623.79
01202015,17,34.52,29.26,616.84
01202015,18,34.16,29.27,607.66
01202015,19,34.16,29.28,600.71
01202015,20,33.98,29.28,599.60
01202015,21,33.80,29.28,598.49
01202015,22,33.26,29.28,600.43
01202015,23,32.90,29.27,605.16
01212015,00,33.08,29.27,602.66
01212015,01,32.90,29.26,615.45
01212015,02,32.72,29.27,611.00
01212015,03,32.54,29.26,614.61
01212015,04,32.36,29.26,622.40
01212015,05,32.18,29.25,624.07
01212015,06,32.18,29.26,620.18
01212015,07,31.82,29.26,612.95
01212015,08,31.82,29.28,599.32
01212015,09,32.18,29.29,590.43
01212015,10,32.72,29.29,585.98
01212015,11,33.08,29.30,580.15
01212015,12,33.44,29.30,583.20
01212015,13,33.80,29.30,581.26
01212015,14,33.80,29.31,565.15
01212015,15,34.52,29.34,543.49
01212015,16,33.44,29.36,522.41
01212015,17,32.36,29.40,491.91
01212015,18,31.64,29.42,467.26
01212015,19,31.28,29.44,446.77
01212015,20,31.10,29.46,432.66
01212015,21,30.92,29.48,411.92
01212015,22,30.74,29.49,401.14
01212015,23,30.56,29.51,380.69
01222015,00,30.56,29.51,382.90
01222015,01,30.74,29.53,368.82
01222015,02,30.74,29.54,351.70
01222015,03,30.38,29.55,345.36
01222015,04,30.20,29.57,327.43
01222015,05,30.20,29.58,312.26
01222015,06,30.02,29.61,289.39
01222015,07,30.02,29.65,251.12
01222015,08,30.38,29.67,232.69
01222015,09,32.36,29.68,220.04
01222015,10,34.16,29.69,215.37
01222015,11,34.16,29.68,218.67
01222015,12,35.78,29.68,223.62
01222015,13,36.68,29.67,232.14
01222015,14,35.60,29.68,221.69
01222015,15,35.24,29.70,210.15
01222015,16,34.16,29.69,214.82
01222015,17,33.44,29.68,225.82
01222015,18,32.90,29.68,222.79
01222015,19,32.36,29.70,209.87
01222015,20,32.18,29.69,213.72
01222015,21,31.10,29.68,224.72
01222015,22,31.64,29.66,242.04
01222015,23,31.64,29.65,254.42
01232015,00,31.64,29.63,270.11
01232015,01,32.00,29.61,289.12
01232015,02,31.82,29.60,294.07
01232015,03,31.64,29.58,315.02
01232015,04,31.64,29.56,332.12
01232015,05,31.46,29.54,353.08
01232015,06,31.46,29.53,359.71
01232015,07,31.28,29.52,373.79
01232015,08,31.46,29.50,388.43
01232015,09,32.18,29.48,411.64
01232015,10,32.90,29.47,424.09
01232015,11,33.26,29.43,455.90
01232015,12,34.34,29.38,501.06
01232015,13,34.70,29.35,527.40
01232015,14,34.88,29.33,547.93
01232015,15,34.70,29.31,564.87
01232015,16,33.62,29.28,593.48
01232015,17,31.46,29.25,624.91
01232015,18,31.10,29.25,622.12
01232015,19,30.74,29.23,641.32
01232015,20,30.38,29.21,663.32
01232015,21,29.84,29.18,697.59
01232015,22,29.48,29.16,707.63
01232015,23,29.66,29.14,733.02
01242015,00,29.84,29.10,767.36
01242015,01,29.84,29.06,806.77
01242015,02,28.94,29.04,820.48
01242015,03,30.20,29.02,848.75
01242015,04,30.38,28.99,872.56
01242015,05,33.08,28.97,890.50
01242015,06,33.98,28.96,899.20
01242015,07,34.34,28.97,889.94
01242015,08,35.06,28.97,891.35
01242015,09,36.32,28.96,896.11
01242015,10,38.84,28.96,901.72
01242015,11,41.36,28.94,917.15
01242015,12,43.16,28.92,936.80
01242015,13,43.34,28.91,950.00
01242015,14,41.18,28.91,946.91
01242015,15,40.10,28.92,939.32
01242015,16,39.56,28.93,934.27
01242015,17,39.02,28.93,924.45
01242015,18,38.84,28.94,918.27
01242015,19,38.66,28.96,900.32
